lane_id,length
-104010328_0,89.74
-104010328_1,89.74
-10427692#1_0,42.92
-10427692#1_1,42.92
-10427692#1_2,42.92
-10427692#2_0,23.35
-10427692#2_1,23.35
-10427692#3_0,28.64
-10427692#3_1,28.64
-10427692#4_0,26.34
-10427692#4_1,26.34
-10427692#5_0,61.48
-10427692#5_1,61.48
-10427692#6_0,34.76
-10427692#6_1,34.76
-10427692#7_0,61.58
-10427692#7_1,61.58
-10427692#8_0,0.2
-10427692#8_1,0.2
-120125554_0,35.84
-120125554_1,35.84
-128361102#1_0,274.68
-128361102#1_1,274.68
-129379918#1_0,15.98
-129379918#1_1,15.98
-129379918#1_2,15.98
-129379920#0_0,3.17
-129379920#0_1,3.17
-129379920#0_2,3.17
-129379920#0_3,3.17
-129379920#1_0,16.13
-129379920#1_1,16.13
-129379920#1_2,16.13
-129379920#1_3,16.13
-129379921#0_0,18.15
-129379921#0_1,18.15
-129379921#0_2,18.15
-129379921#0_3,18.15
-129379921#1_0,79.92
-129379921#1_1,79.92
-129379921#1_2,79.92
-129379921#1_3,79.92
-129379922_0,37.33
-129379922_1,37.33
-129379922_2,37.33
-129379925_0,41.63
-129379925_1,41.63
-129379925_2,41.63
-129379925_3,41.63
-136436466_0,15.35
-136436466_1,15.35
-136436466_2,15.35
-136436466_3,15.35
-136436468#0_0,102.02
-136436468#0_1,102.02
-136436468#2_0,48.03
-136436468#2_1,48.03
-136728347#4_0,265.62
-136728347#4_1,265.62
-137132992#2_0,64.71
-137132992#2_1,64.71
-137454133#0_0,0.2
-137454133#0_1,0.2
-137454133#0_2,0.2
-137454133#1_0,19.95
-137454133#1_1,19.95
-137454133#1_2,19.95
-137454133#5_0,198.58
-137454133#5_1,198.58
-138300620#6_0,133.4
-138300620#6_1,133.4
-160314345#0_0,38.56
-160314345#0_1,38.56
-160314345#1_0,72.93
-160314345#1_1,72.93
-160314345#2_0,81.44
-160314345#2_1,81.44
-160314345#3_0,69.18
-160314345#3_1,69.18
-160314345#4_0,74.56
-160314345#4_1,74.56
-160314345#5_0,79.96
-160314345#5_1,79.96
-160314346#0_0,53.51
-160314346#0_1,53.51
-160314346#1_0,39.42
-160314346#1_1,39.42
-160314351#0_0,37.6
-160314351#0_1,37.6
-160314351#1_0,2.58
-160314351#1_1,2.58
-164051413_0,8.93
-164051413_1,8.93
-164078530_0,0.2
-164078530_1,0.2
-164078530_2,0.2
-170018165#0_0,9.75
-170018165#0_1,9.75
-170018165#0_2,9.75
-170018165#1_0,7.11
-170018165#1_1,7.11
-170018165#1_2,7.11
-170018165#1_3,7.11
-170018165#2.164_0,38.75
-170018165#2.164_1,38.75
-170018165#2.164_2,38.75
-170018165#2.210_0,56.98
-170018165#2.210_1,56.98
-170018165#2.210_2,56.98
-170018165#2.210_3,56.98
-170018165#3_0,184.74
-170018165#3_1,184.74
-170425366#6_0,277.84
-170425366#6_1,277.84
-173169611#0_0,70.0
-173169611#0_1,70.0
-173177776#1_0,46.39
-173203413#7_0,183.36
-173203413#7_1,183.36
-174800513_0,12.1
-174800513_1,12.1
-174800513_2,12.1
-18809672#1_0,11.33
-18809672#1_1,11.33
-18809672#4_0,75.94
-18809672#4_1,75.94
-18809672#5_0,1.09
-18809672#5_1,1.09
-18809672#6_0,46.16
-18809672#6_1,46.16
-18809672#7_0,40.9
-18809672#7_1,40.9
-18809673#1.275_0,34.45
-18809673#1.275_1,34.45
-18809673#1.275_2,34.45
-18809673#6_0,434.66
-18809673#6_1,434.66
-18813598#1_0,57.17
-18813598#1_1,57.17
-18813598#1_2,57.17
-18813598#6_0,223.1
-18813598#6_1,223.1
-18813598#7_0,296.04
-18813598#7_1,296.04
-18813598#8_0,124.74
-18813598#8_1,124.74
-201089420#1_0,67.87
-201089420#1_1,67.87
-201089423#1_0,60.28
-201089423#1_1,60.28
-201089423#1_2,60.28
-201089423#2_0,47.06
-201089423#2_1,47.06
-201089423#2_2,47.06
-201201945#0_0,78.04
-201201945#0_1,78.04
-201201945#0.78_0,53.62
-201201945#0.78_1,53.62
-201201945#0.78_2,53.62
-201201945#1_0,11.37
-201201945#1_1,11.37
