lane,length
100_0,330.99
101_0,232.62
102_0,231.42
103[0]_0,31.14
103[0]_1,31.14
103[1].2_0,142.46
103[1].2_1,142.46
104.5_0,357.99
104.5_1,357.99
105_0,79.06
105_1,79.06
106_0,148.86
107_0,138.56
107_1,138.56
108_0,18.3
108_1,18.3
109_0,18.87
109_1,18.87
10_0,107.02
10_1,107.02
110_0,319.33
110_1,319.33
111_0,341.03
111_1,341.03
112[0]_0,458.89
112[0]_1,458.89
112[1]_0,31.4
112[1]_1,31.4
113[0]_0,23.36
113[0]_1,23.36
113[0]_2,23.36
113[1][0]_0,435.42
113[1][0]_1,435.42
113[1][0]_2,435.42
114_0,147.12
114_1,147.12
115_0,128.19
115_1,128.19
116_0,237.33
116_1,237.33
116_2,237.33
116_3,237.33
116_4,237.33
117_0,236.97
117_1,236.97
117_2,236.97
117_3,236.97
117_4,236.97
118_0,660.69
118_1,660.69
119_0,663.59
119_1,663.59
11_0,40.48
11_1,40.48
120.0.24_0,744.17
120.0.24_1,744.17
121_0,744.87
121_1,744.87
122[0]_0,283.95
122[0]_1,283.95
122[0]_2,283.95
122[1]_0,241.27
122[1]_1,241.27
122[1]_2,241.27
123_0,532.5
123_1,532.5
123_2,532.5
125_0,144.07
125_1,144.07
126_0,192.58
127_0,160.3
127_1,160.3
127_2,160.3
128_0,149.18
128_1,149.18
129_0,148.68
129_1,148.68
12_0,358.39
12_1,358.39
12_2,358.39
12_3,358.39
13.1_0,427.51
13.1_1,427.51
13.1_2,427.51
13.1_3,427.51
130_0,104.41
130_1,104.41
131_0,96.08
131_1,96.08
132_0,122.18
132_1,122.18
133_0,130.27
133_1,130.27
134.7_0,892.97
134.7_1,892.97
134.7_2,892.97
135.7_0,284.04
135.7_1,284.04
135.7_2,284.04
136_0,307.62
136_1,307.62
137.5_0,49.76
137.5_1,49.76
138_0,915.56
139_0,915.88
14.3_0,188.62
14.3_1,188.62
140_0,243.29
140_1,243.29
140_2,243.29
140_3,243.29
141_0,236.52
141_1,236.52
142_0,255.86
142_1,255.86
142_2,255.86
143.4_0,346.56
143.4_1,346.56
143.4_2,346.56
144.283_0,295.24
144.283_1,295.24
144.283_2,295.24
144.312_0,33.18
144.312_1,33.18
144.312_2,33.18
144_0,273.64
144_1,273.64
144_2,273.64
145_0,158.03
145_1,158.03
145_2,158.03
146_0,20.1
146_1,20.1
147_0,239.71
147_1,239.71
147_2,239.71
148_0,229.4
148_1,229.4
148_2,229.4
149_0,324.15
149_1,324.15
149_2,324.15
150_0,323.25
150_1,323.25
150_2,323.25
151_0,396.26
151_1,396.26
151_2,396.26
151_3,396.26
152_0,398.0
152_1,398.0
152_2,398.0
152_3,398.0
153_0,367.69
153_1,367.69
153_2,367.69
154.7_0,367.29
154.7_1,367.29
154.7_2,367.29
155[0].4_0,214.2
155[0].4_1,214.2
155[0].4_2,214.2
155[0].4_3,214.2
155[1]_0,19.65
155[1]_1,19.65
155[1]_2,19.65
155[1]_3,19.65
156[0]_0,19.82
156[0]_1,19.82
156[0]_2,19.82
156[0]_3,19.82
156[1]_0,215.25
156[1]_1,215.25
156[1]_2,215.25
156[1]_3,215.25
157_0,206.29
157_1,206.29
157_2,206.29
158_0,138.35
158_1,138.35
158_2,138.35
15_0,386.32
15_1,386.32
161_0,35.0
161_1,35.0
163_0,55.63
164_0,52.99
165_0,200.44
165_1,200.44
166_0,165.53
166_1,165.53
167_0,15.12
167_1,15.12
168_0,15.11
168_1,15.11
16_0,388.59
16_1,388.59
172_0,31.58
173_0,24.36
173_1,24.36
175_0,35.14
175_1,35.14
17_0,443.49
17_1,443.49
181[1][1][0].32.3_0,43.94
181[1][1][0].32.3_1,43.94
181[1][1][0].32.3_2,43.94
181[1][1][0].32.3_3,43.94
181[1][1][1][0]_0,6.24
181[1][1][1][0]_1,6.24
181[1][1][1][0]_2,6.24
181[1][1][1][0]_3,6.24
181[1][1][1][1][0]_0,7.14
181[1][1][1][1][0]_1,7.14
181[1][1][1][1][0]_2,7.14
181[1][1][1][1][0]_3,7.14
181[1][1][1][1][1][0].76_0,62.8
181[1][1][1][1][1][0].76_1,62.8
181[1][1][1][1][1][0].76_2,62.8
181[1][1][1][1][1][0].76_3,62.8
181[1][1][1][1][1][0]_0,6.39
181[1][1][1][1][1][0]_1,6.39
181[1][1][1][1][1][0]_2,6.39
181[1][1][1][1][1][0]_3,6.39
182_0,52.96
182_1,52.96
183.8_0,94.23
183.8_1,94.23
184_0,464.49
184_1,464.49
185_0,259.89
186_0,195.81
186_1,195.81
187_0,259.92
18_0,440.68
18_1,440.68
19_0,393.02
19_1,393.02
1_0,38.13
1_1,38.13
20_0,391.16
20_1,391.16
21_0,183.71
21_1,183.71
22_0,182.77
22_1,182.77
24_0,156.71
24_1,156.71
25[0]_0,8.54
25[0]_1,8.54
25[1]_0,496.19
25[1]_1,496.19
26_0,522.48
26_1,522.48
27_0,361.14
27_1,361.14
28_0,360.88
28_1,360.88
29_0,97.76
29_1,97.76
2_0,108.04
2_1,108.04
30_0,96.08
30_1,96.08
31_0,471.89
31_1,471.89
32_0,471.87
32_1,471.87
33_0,375.4
33_1,375.4
34_0,376.13
34_1,376.13
35_0,146.06
35_1,146.06
35_2,146.06
35_3,146.06
35_4,146.06
37[0]_0,139.17
37[0]_1,139.17
38.9_0,216.94
38.9_1,216.94
39.68_0,212.45
39.68_1,212.45
3[0]_0,546.58
3[0]_1,546.58
3[0]_2,546.58
3[1]_0,198.37
3[1]_1,198.37
3[1]_2,198.37
40_0,231.74
40_1,231.74
40_2,231.74
40_3,231.74
41.3_0,67.75
41.3_1,67.75
41.3_2,67.75
41.3_3,67.75
42.0_0,85.93
42.0_1,85.93
42.0_2,85.93
42.0_3,85.93
43[0].45_0,366.25
43[0].45_1,366.25
44_0,153.29
44_1,153.29
44_2,153.29
45[0].5_0,280.37
45[0].5_1,280.37
45[1]_0,485.17
45[1]_1,485.17
46_0,323.78
46_1,323.78
47_0,45.24
47_1,45.24
48_0,29.5
48_1,29.5
48_2,29.5
49[0]_0,51.29
49[0]_1,51.29
49[0]_2,51.29
49[1]_0,384.58
49[1]_1,384.58
49[1]_2,384.58
4_0,134.96
4_1,134.96
4_2,134.96
50[0].15_0,395.43
50[0].15_1,395.43
50[1]_0,12.73
